datatime,external_event
2020-03-29 18:10:03,A
2020-03-29 18:10:04,A
2020-03-29 18:10:05,A
2020-03-29 18:10:06,A
2020-03-29 18:10:07,A
2020-03-29 18:10:08,A
2020-03-29 18:10:09,A
2020-03-29 18:10:10,A
2020-03-29 18:10:11,A
2020-03-29 18:10:12,A
2020-03-29 18:10:13,A
2020-03-29 18:10:14,A
2020-03-29 18:10:15,A
2020-03-29 18:10:16,A
2020-03-29 18:10:17,A
2020-03-29 18:10:18,A
2020-03-28 18:19:12,A
2020-03-28 18:19:13,A
2020-03-28 18:19:14,A
2020-03-28 18:19:15,A
2020-03-28 18:19:16,A
2020-03-28 18:19:17,A
2020-03-28 18:19:18,A
2020-03-28 18:19:19,A
2020-03-28 18:19:20,A
2020-03-28 18:19:21,A
2020-03-28 18:19:22,A
2020-03-28 18:19:23,A
2020-03-28 18:19:24,A
2020-03-28 18:19:25,A
2020-03-28 18:19:26,A
2020-03-28 18:19:27,A
2020-03-28 23:52:30,A
2020-03-28 23:52:31,A
2020-03-28 23:52:32,A
2020-03-28 23:52:33,A
2020-03-28 23:52:34,A
2020-03-28 23:52:35,A
2020-03-28 23:52:36,A
2020-03-28 23:52:37,A
2020-03-28 23:52:38,A
2020-03-28 23:52:39,A
2020-03-28 23:52:40,A
2020-03-28 23:52:41,A
2020-03-28 23:52:42,A
2020-03-28 23:52:43,A
2020-03-28 23:52:44,A
2020-03-28 23:52:45,A
2020-03-29 22:32:41,A
2020-03-29 22:32:42,A
2020-03-29 22:32:43,A
2020-03-29 22:32:44,A
2020-03-29 22:32:45,A
2020-03-29 22:32:46,A
2020-03-29 22:32:47,A
2020-03-29 22:32:48,A
2020-03-29 22:32:49,A
2020-03-29 22:32:50,A
2020-03-29 22:32:51,A
2020-03-29 22:32:52,A
2020-03-29 22:32:53,A
2020-03-29 22:32:54,A
2020-03-29 22:32:55,A
2020-03-29 22:32:56,A
2020-03-22 20:51:28,A
2020-03-22 20:51:29,A
2020-03-22 20:51:30,A
2020-03-22 20:51:31,A
2020-03-22 20:51:32,A
2020-03-22 20:51:33,A
2020-03-22 20:51:34,A
2020-03-22 20:51:35,A
2020-03-22 20:51:36,A
2020-03-22 20:51:37,A
2020-03-22 20:51:38,A
2020-03-22 20:51:39,A
2020-03-22 20:51:40,A
2020-03-22 20:51:41,A
2020-03-22 20:51:42,A
2020-03-22 20:51:43,A
2020-03-22 21:50:31,A
2020-03-22 21:50:32,A
2020-03-22 21:50:33,A
2020-03-22 21:50:34,A
2020-03-22 21:50:35,A
2020-03-22 21:50:36,A
2020-03-22 21:50:37,A
2020-03-22 21:50:38,A
2020-03-22 21:50:39,A
2020-03-22 21:50:40,A
2020-03-22 21:50:41,A
2020-03-22 21:50:42,A
2020-03-22 21:50:43,A
2020-03-22 21:50:44,A
2020-03-22 21:50:45,A
2020-03-22 21:50:46,A
2020-04-01 18:47:53,A
2020-04-01 18:47:54,A
2020-04-01 18:47:55,A
2020-04-01 18:47:56,A
2020-04-01 18:47:57,A
2020-04-01 18:47:58,A
2020-04-01 18:47:59,A
2020-04-01 18:48:00,A
2020-04-01 18:48:01,A
2020-04-01 18:48:02,A
2020-04-01 18:48:03,A
2020-04-01 18:48:04,A
2020-04-01 18:48:05,A
2020-04-01 18:48:06,A
2020-04-01 18:48:07,A
2020-04-01 18:48:08,A
2020-04-02 13:39:17,A
2020-04-02 13:39:18,A
2020-04-02 13:39:19,A
2020-04-02 13:39:20,A
2020-04-02 13:39:21,A
2020-04-02 13:39:22,A
2020-04-02 13:39:23,A
2020-04-02 13:39:24,A
2020-04-02 13:39:25,A
2020-04-02 13:39:26,A
2020-04-02 13:39:27,A
2020-04-02 13:39:28,A
2020-04-02 13:39:29,A
2020-04-02 13:39:30,A
2020-04-02 13:39:31,A
2020-04-02 13:39:32,A
2020-03-25 18:12:44,A
2020-03-25 18:12:45,A
2020-03-25 18:12:46,A
2020-03-25 18:12:47,A
2020-03-25 18:12:48,A
2020-03-25 18:12:49,A
2020-03-25 18:12:50,A
2020-03-25 18:12:51,A
2020-03-25 18:12:52,A
2020-03-25 18:12:53,A
2020-03-25 18:12:54,A
2020-03-25 18:12:55,A
2020-03-25 18:12:56,A
2020-03-25 18:12:57,A
2020-03-25 18:12:58,A
2020-03-25 18:12:59,A
2020-04-01 18:46:13,A
2020-04-01 18:46:14,A
2020-04-01 18:46:15,A
2020-04-01 18:46:16,A
2020-04-01 18:46:17,A
2020-04-01 18:46:18,A
2020-04-01 18:46:19,A
2020-04-01 18:46:20,A
2020-04-01 18:46:21,A
2020-04-01 18:46:22,A
2020-04-01 18:46:23,A
2020-04-01 18:46:24,A
2020-04-01 18:46:25,A
2020-04-01 18:46:26,A
2020-04-01 18:46:27,A
2020-04-01 18:46:28,A
2020-03-30 18:09:52,A
2020-03-30 18:09:53,A
2020-03-30 18:09:54,A
2020-03-30 18:09:55,A
2020-03-30 18:09:56,A
2020-03-30 18:09:57,A
2020-03-30 18:09:58,A
2020-03-30 18:09:59,A
2020-03-30 18:10:00,A
2020-03-30 18:10:01,A
2020-03-30 18:10:02,A
2020-03-30 18:10:03,A
2020-03-30 18:10:04,A
2020-03-30 18:10:05,A
2020-03-30 18:10:06,A
2020-03-30 18:10:07,A
2020-03-31 20:07:08,A
2020-03-31 20:07:09,A
2020-03-31 20:07:10,A
2020-03-31 20:07:11,A
2020-03-31 20:07:12,A
2020-03-31 20:07:13,A
2020-03-31 20:07:14,A
2020-03-31 20:07:15,A
2020-03-31 20:07:16,A
2020-03-31 20:07:17,A
2020-03-31 20:07:18,A
2020-03-31 20:07:19,A
2020-03-31 20:07:20,A
2020-03-31 20:07:21,A
2020-03-31 20:07:22,A
2020-03-31 20:07:23,A
2020-03-25 23:39:13,A
2020-03-25 23:39:14,A
2020-03-25 23:39:15,A
2020-03-25 23:39:16,A
2020-03-25 23:39:17,A
2020-03-25 23:39:18,A
2020-03-25 23:39:19,A
2020-03-25 23:39:20,A
2020-03-25 23:39:21,A
2020-03-25 23:39:22,A
2020-03-25 23:39:23,A
2020-03-25 23:39:24,A
2020-03-25 23:39:25,A
2020-03-25 23:39:26,A
2020-03-25 23:39:27,A
2020-03-25 23:39:28,A
2020-03-23 20:18:04,A
2020-03-23 20:18:05,A
2020-03-23 20:18:06,A
2020-03-23 20:18:07,A
2020-03-23 20:18:08,A
2020-03-23 20:18:09,A
2020-03-23 20:18:10,A
2020-03-23 20:18:11,A
2020-03-23 20:18:12,A
2020-03-23 20:18:13,A
2020-03-23 20:18:14,A
2020-03-23 20:18:15,A
2020-03-23 20:18:16,A
2020-03-23 20:18:17,A
2020-03-23 20:18:18,A
2020-03-23 20:18:19,A
2020-03-30 23:23:31,A
2020-03-30 23:23:32,A
2020-03-30 23:23:33,A
2020-03-30 23:23:34,A
2020-03-30 23:23:35,A
2020-03-30 23:23:36,A
2020-03-30 23:23:37,A
2020-03-30 23:23:38,A
2020-03-30 23:23:39,A
2020-03-30 23:23:40,A
2020-03-30 23:23:41,A
2020-03-30 23:23:42,A
2020-03-30 23:23:43,A
2020-03-30 23:23:44,A
2020-03-30 23:23:45,A
2020-03-30 23:23:46,A
2020-04-02 22:10:55,A
2020-04-02 22:10:56,A
2020-04-02 22:10:57,A
2020-04-02 22:10:58,A
2020-04-02 22:10:59,A
2020-04-02 22:11:00,A
2020-04-02 22:11:01,A
2020-04-02 22:11:02,A
2020-04-02 22:11:03,A
2020-04-02 22:11:04,A
2020-04-02 22:11:05,A
2020-04-02 22:11:06,A
2020-04-02 22:11:07,A
2020-04-02 22:11:08,A
2020-04-02 22:11:09,A
2020-04-02 22:11:10,A
2020-03-27 23:40:37,A
