datetime,clientid,minute,country_code,sourcemedium,internal_event,device_category,hour,channel,carrier,wifi,operator,external_event
2020-03-19 20:21:28,4667282298-67353772295242A27982617515845L91K630392,21,CO,organic,install,phone,20,,Movistar,True,Movistar,G
2020-03-19 20:21:28,4667259247-86589431706112A27982617515845L91K960964,21,CO,organic,install,phone,20,,TIGO,True,TIGO,G
2020-03-19 20:21:30,4666800697-94632012A27982617515845L91K,21,CO,branch_int,install,phone,20,,,True,,G
2020-03-19 20:21:31,4667288729-28568425016282A27982617515845L91K294522,21,CO,organic,install,phone,20,,ETB 4G,True,ETB 4G,G
2020-03-19 20:21:32,4667290565-44223099796872A27982617515845L91K531718,21,CO,organic,install,phone,20,,Movistar,False,Movistar,G
2020-03-19 20:21:33,4667288629-81939352562962A27982617515845L91K920955,21,CO,Facebook Ads,install,phone,20,Facebook,Movistar,True,Movistar,G
2020-03-19 20:21:34,4667283332-25393418190712A27982617515845L91K601505,21,CO,organic,install,phone,20,,TIGO,False,TIGO,G
2020-03-19 20:21:34,4667290686-70905138203942A27982617515845L91K536948,21,CO,organic,install,phone,20,,TIGO,True,TIGO,G
2020-03-19 20:21:38,4667289822-88305523075052A27982617515845L91K991304,21,CO,organic,install,phone,20,,Avantel 4G LTE,True,Avantel 4G LTE,G
2020-03-19 20:21:38,2389190383-84284307479002A27982617515825L91K2209,21,CO,organic,install,phone,20,,Claro,True,Claro,G
2020-03-19 20:21:40,4667294977-50383248966882A27982617515845L91K851145,21,CO,organic,install,phone,20,,Movistar,True,Movistar,G
2020-03-19 20:21:40,4706995450-52157054116912A27982617515745L91K395022,21,CO,organic,install,phone,20,,Movil Exito,False,Movil Exito,G
2020-03-19 20:21:41,4667297379-61653400300662A27982617515845L91K620614,21,CO,organic,install,phone,20,,Movistar,True,Movistar,G
2020-03-19 20:21:42,4660381590-09920472A27982617515845L91K,21,CO,Apple Search Ads,FIRST_ORDER_PLACED_CONFIRMED_BACK,,20,,,False,,G
2020-03-19 20:21:43,4666780390-55311880566532A27982617515845L91K605474,21,CO,organic,FIRST_ORDER_PLACED_CONFIRMED_BACK,,20,,,False,,G
2020-03-20 17:43:09,4743760493-17174992A27982617515845L91K,43,CO,organic,install,phone,17,,,True,,DD
